author,level,unit,ngrams,entropy_bits,perplexity
austen,word-1,word,6957,9.155283265840383,570.1838102369495
austen,word-2 (joint),word,55620,14.537812439763584,23785.791941063
austen,word-3 (joint),word,103599,16.467032747814656,90588.02612634323
austen,char-1,char,44,4.181348256825263,18.143089695034423
austen,char-2 (joint),char,710,7.536712488494974,185.68487418719093
austen,char-3 (joint),char,5111,10.135558967522247,1124.8827890922978
twain,word-1,word,8396,9.531811749546625,740.2207406015649
twain,word-2 (joint),word,41152,14.494095323308946,23075.836455011733
twain,word-3 (joint),word,63754,15.868903773029805,59843.36885969315
twain,char-1,char,36,4.206211110688112,18.458470525704527
twain,char-2 (joint),char,722,7.575173846255311,190.7016936479617
twain,char-3 (joint),char,6007,10.229683816455823,1200.719807342085
doyle,word-1,word,8823,9.294350254640209,627.8822658556561
doyle,word-2 (joint),word,51680,14.451193605591529,22399.728191056583
doyle,word-3 (joint),word,89382,16.2638558912204,78687.99299808685
doyle,char-1,char,50,4.164503381678299,17.93248329452507
doyle,char-2 (joint),char,849,7.5145328082673615,182.85202684503352
doyle,char-3 (joint),char,6249,10.176405950211493,1157.1867148654603
